Summary,Safety Issues,Location,Title,Date Occurred,Decision Events,Skill Based Events,Perception Events,Routine Violation,Physical Environment,Technical Environment,Space Environment,Communications,Self Imposed Stress,Awareness Cognitive Factors,Adverse Psychological,Adverse Physiological,Medical / Mental,Individual Perception,Inadequate Supervision,Failure to Correct a Known Problem,Planned Inappropriate Operations,Supervisory Violations,Organizational Culture / Climate,Organizational Processes,Resource Management
"On 3 August 1999 twin rig trawler Sharona was fishing 80 miles north-east of Peterhead, Scotland. The crew discovered flooding in the engine room. Actions on board led to further flooding and all electrical power eventually was lost. A coastguard tow was requested. Flooding continued under tow leading to the loss of the vessel. The crew were safely transferred to the towing vessel, which arrived in Aberdeen the following day.","the decision to haul the fishing gear, which resulted in a failure to stop the main engine immediately and thereby, prevent further flooding
the failure of the engine room bilge alarm
the failure to detect defective pipework","80 miles north-east of Peterhead, Scotland",Flooding and sinking of twin rig trawler Sharona,3 August 1999,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"On 14 June 2013, the general cargo vessel Fri Ocean ran aground 2½ miles south of Tobermory, Isle of Mull. The vessel’s bow shell plating and frames were damaged resulting in flooding to the bow thruster room. The crew carried out a temporary repair, and the vessel was re-floated.","the second officer who was alone on watch, fell asleep, largely through lack of stimulation possibly exacerbated by fatigue, shortly after making a course alteration at 0256
none of the alarms fitted to the GPS and ECS were loud enough to wake the sleeping officer
a bridge navigational watch alarm system that could have alerted the crew to the second officer sleeping was probably not in use","2½ miles south of Tobermory, Isle of Mull, Scotland",Grounding of general cargo vessel Fri Ocean,14 June 2013,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1
"Tullaghmurry Lass was a 10.02 metre registered length fishing vessel, of wood construction, operated as a prawn trawler out of Kilkeel, Northern Ireland. At 0340 on the morning of 14 February 2002, she left Kilkeel for a day fishing trip with three people on board. One of these was a child of 8 years of age.","the vessel sank because she had suffered an explosion in her cabin area, which had caused catastrophic damage to her hull and wheelhouse
although gas has been identified as the fuel for the explosion, some uncertainty remains as to the source of the gas. A leak from the vessel’s own LPG system is considered most likely","In the Irish Sea off Kilkeel, Northern Ireland",Explosion and subsequent sinking of prawn trawler/mussel dredger Tullaghmurry Lass with loss of 3 lives,14 February 2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"At about 1850 on 5 October 2011, the high-speed catamaran Moon Clipper hit Tower Millennium Pier at a speed of 8.5 knots. The impact caused fourteen passengers and two crew to suffer whiplash and/or minor injuries. The stem of the vessel’s port hull was fractured above and below the waterline, resulting in flooding of the port forepeak tank. Slight damage was also caused to a section of the pier’s handrails and rubber fender.","the speed of approach accentuated the effect of the steering control failure
distractions on the bridge adversely affected the master’s reactions
crew resources were overloaded during the emergency response, no information broadcasts were made, the passengers were not mustered, and a headcount was not taken prior to the passengers being allowed to disperse","Tower Millennium Pier on the River Thames, England",Steering control failure on high-speed passenger catamaran Moon Clipper resulting in contact with pier and several people injured,5 October 2011,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"On 18 July 2018, the Netherlands registered general cargo vessel Priscilla ran aground on Pentland Skerries, Scotland. For about 2 hours prior to the accident, the officer of the watch had been unaware that Priscilla was drifting away from the planned passage. When the officer of the watch realised what had happened, the route chosen to regain the navigational plan resulted in the vessel heading directly into danger. The accident happened because the officer of the watch was distracted from the critical task of monitoring the passage by watching videos on his mobile phone. He was the sole lookout at night as the vessel headed towards land, and the electronic navigation system was not set up to warn of danger ahead. Priscilla’s officer or the watch also responded to two radio calls from shore authorities warning of the danger ahead; however, his reaction to the warnings was not sufficient to avoid danger.","monitoring the vessel’s progress along the planned passage is a vital component of safe navigation, and the officer of the watch should not become distracted from this responsibility

reducing to a sole lookout must be properly assessed; it was not appropriate at night when Priscilla was heading towards Pentland Firth

electronic navigation aids should always be set up to aid the officer of the watch by giving warning of danger ahead. The BNWAS should not be left off at sea","Pentland Skerries, Pentland Firth, Scotland",Grounding of general cargo vessel Priscilla,18 July 2018,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"On 15 August 1999 a fishing vessel Fraoch Ban capsized and sank off the coast of the Shetland Islands. Sand eels, stowed in bulk, caused the vessel to capsize. The skipper radioed another fishing vessel for assistance and the crew abandoned the vessel. They had to swim to the liferaft, which had floated away because it had been stowed incorrectly. One of the crew became unconscious during the swim and needed to be hauled to the liferaft. The other crew members successfully resuscitated him and he later made a full recovery.","the large free surface in the fish hold was the main cause of the accident. The incorrect use of the pound boards, particularly the gaps under them did little to lessen the free surface, which was enough to capsize the vessel
Fraoch Ban’s stability book only showed conditions for the carriage of boxed fish; at the time of the accident the fish were being stowed in bulk, a condition which had not been approved
the liferaft had not been correctly stowed","Off the Shetland Islands, Scotland",Capsize and sinking of stern trawler Fraoch Ban,15 August 1999,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On April 24, 2019, the towing vessel Edna T. Gattle was pushing the barge Terral 2 downbound on the Atchafalaya River through the Union Pacific Railway Bridge at mile 41.5, near Krotz Springs, Louisiana, when the captain lost control of the tow and the vessel and barge made contact with the bridge and piers. As a result, the barge suffered $26,748 in damages, and the bridge sustained $500,000 in damages and was out of service for 3 days. No injuries or pollution were reported.","The probable cause of the Edna T. Gattle and tow’s contact with the Union Pacific Railway Bridge was the captain allowing the tow to proceed beyond a safe decision point without confirming the status of the bridge opening, given the high river current.","Krotz Springs, LA",Contact of Towing Vessel Edna T. Gattle and Tow with Union Pacific Railway Bridge,4/24/2019,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On March 6, 2017, about 0009, the uninspected commercial fishing vessel St. Dominick grounded in Pumicestone Bay, Alaska. The engine room flooded within 10-20 minutes of the grounding, and the four crewmembers abandoned the vessel a short time later. None of them were injured, and no pollution was reported. The vessel, valued at $1.1 million, was deemed a constructive total loss.",​​The probable cause of the grounding of the St. Dominick was the captain’s failure to monitor the vessel’s track as a result of his fatigue due to an accumulated sleep deficit. Contributing to the accident was the nature of the derby-style fishing that the St. Dominick was engaged in and the captain’s failure to properly set the bridge watch alarm.,AK,Grounding of Fishing Vessel St. Dominick,3/6/2017,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Catastrophic engine failure and subsequent fire on a 15 metre windfarm crew transfer vessel. There were no injuries to the two crew or the 12 embarked wind turbine technicians. The fixed firefighting system was operated, but it was ineffective because not all the engine space vents had been closed. The fire caused only minor damage and eventually extinguished when it ran out of fuel.","the damage to the port engine was caused by the failure of a piston connecting rod big end shell bearing
the initial high oil temperature alarm prior to the engine failure warranted a more cautious approach until a deeper technical investigation could be conducted
the fire resulted from the ignition of oil vapour released from the damaged engine
the fixed fire-fighting system was rendered ineffective because not all the port engine space vents were closed prior to its activation
the safety of the embarked technicians was given a high priority","Off the Lincolnshire coast, England",Catastrophic engine failure resulting in a fire on crew transfer vessel Windcat 8,7 September 2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"About 2010 local time on February 16, 2019, a fire was reported on the bulk carrier St. Clair while the vessel was laid-up for the winter at the CSX TORCO Iron Ore Terminal (TORCO dock) at the mouth of the Maumee River in Toledo, Ohio. No one was on board. The fire was extinguished approximately 36 hours later by shoreside firefighters. No pollution or injuries were reported. The estimated property damage exceeded $150 million.","The​ probable cause of the fire aboard the bulk carrier St. Clair​ was the ignition of combustible material in the vicinity of an engine room workshop likely due to the use of portable space heaters or smoldering smoking materials, which spread to other areas of the vessel. Contributing to the extent of the fire damage was the lack of operating procedures for continuous active monitoring of the vessel while in layup status.","Toledo, OH",Engine Room Fire aboard Bulk Carrier St. Clair,2/16/2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Three persons overboard from a rigid inflatable boat in the River Test during the Southampton International Boat Show on 22 September 2000 with one fatality.,"users of the RIB were not aware of important safety information
the RIB’s owners had no clear policy to ensure its safe operation","River Test, Southampton, England",Ejection of 3 people overboard from rigid inflatable boat with loss of 1 life,22 September 2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"During the afternoon of 18 October 2004, in fine weather and good visibility, the passenger vessel Balmoral grounded on Dagger Reef, Gower Peninsular. The vessel was carrying 213 passengers and 19 crew on a sightseeing excursion along the South Wales coast.",the master elected to deviate from his planned route and then failed to adequately monitor his approach to Rhossilli Point,"Dagger Reef off the Gower Peninsula, Wales",Grounding of passenger vessel Balmoral,18 October 2004,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
