,Summary,Safety Issues,Location,Title,Date Occurred,Decision Events,Skill Based Events,Routine Violation,Physical Environment,Technical Environment,Communications,Awareness Cognitive Factors,Inadequate Supervision,Planned Inappropriate Operations,Organizational Processes,Resource Management,Overall Info
0,"a shore worker was fatally injured when he became trapped between the hull of the passenger vessel oldenburg and a vertical fender as he attempted to disembark through a main deck shell door and along the ship side belting. the man had been employed by the lundy company limited, as a shore-based rope handler for 2 seasons and had gone on board the vessel to socialise with the crew before its departure from ilfracombe. oldenburg was alongside a berth which was close to the harbour entrance and, after he had boarded, the vessel’s gangway had been withdrawn due to the vessel’s movement in the prevailing moderate swell. the main deck shell door had been left open and unguarded and, in attempting to get ashore, the man went through the door and along external belting towards a platform and steps on the quayside. the vessel’s crew were unaware that he intended to return ashore at that time or by that route. following the accident the crew went to the man’s aid but, due to his injuries, they were unable to recover him back onto the vessel and he was lowered into the water to facilitate his retrieval by lifeboat. tragically, he died of his injuries shortly after arriving at a local hospital. the vessel’s owner undertook an investigation and fitted barriers and signage to the vessel’s shell door openings to prevent unauthorised use and has also introduced a procedure for monitoring visitors to the vessel.","the deceased used an unapproved means of access when attempting to disembark from the vesselthe vessel’s safety management system did not include a procedure for the control and supervision of visitors – make sure there are procedures in place for the supervision and control of visitors to your vesselthe health and safety induction training given to the deceased, who was a shore-based worker, had not included shipboard access, although he had regularly gone on board during his employment with the company","Ilfracombe Harbour, England",Accident to shore worker while disembarking passenger vessel Oldenburg with 1 fatality,3 August 2015,0,1,0,0,0,0,0,1,0,1,0,"Summary: a shore worker was fatally injured when he became trapped between the hull of the passenger vessel oldenburg and a vertical fender as he attempted to disembark through a main deck shell door and along the ship side belting. the man had been employed by the lundy company limited, as a shore-based rope handler for 2 seasons and had gone on board the vessel to socialise with the crew before its departure from ilfracombe. oldenburg was alongside a berth which was close to the harbour entrance and, after he had boarded, the vessel’s gangway had been withdrawn due to the vessel’s movement in the prevailing moderate swell. the main deck shell door had been left open and unguarded and, in attempting to get ashore, the man went through the door and along external belting towards a platform and steps on the quayside. the vessel’s crew were unaware that he intended to return ashore at that time or by that route. following the accident the crew went to the man’s aid but, due to his injuries, they were unable to recover him back onto the vessel and he was lowered into the water to facilitate his retrieval by lifeboat. tragically, he died of his injuries shortly after arriving at a local hospital. the vessel’s owner undertook an investigation and fitted barriers and signage to the vessel’s shell door openings to prevent unauthorised use and has also introduced a procedure for monitoring visitors to the vessel. Safety Issues: the deceased used an unapproved means of access when attempting to disembark from the vesselthe vessel’s safety management system did not include a procedure for the control and supervision of visitors – make sure there are procedures in place for the supervision and control of visitors to your vesselthe health and safety induction training given to the deceased, who was a shore-based worker, had not included shipboard access, although he had regularly gone on board during his employment with the company"
1,"kuzma minin grounded after dragging its anchor in falmouth bay, england and was successfully refloated on the next high water. damage included shell plate deformation and breached tanks. the vessel dragged its anchor in strong winds. although the movement towards the shore was quickly detected by the bridge watchkeeper, the actions taken to proceed to sea were interrupted by the anchor becoming fouled by a discarded length of anchor chain. as focus was turned to clearing the anchor, kuzma minin was blown towards the shore at a speed of over 2 knots. falmouth’s harbourmaster used local resources to refloat the vessel, but concerns over kuzma minin’s lack of p&i insurance cover, and its owner’s lack of co-operation in appointing a salvor, caused unexpected pressures.",the financial situation of the murmansk shipping company meant that kuzma minin’s master was unable to replenish bunkers and lube oil which influenced his decision to remain at anchor on a lee shore when strong winds were forecastkuzma minin’s lack of p&i insurance led to concerns over responsibility for salvage payment which hindered the appointment of experts and the ability to secure the services of an additional tug that was on passage nearby,"Falmouth Bay, England",Grounding of bulk carrier Kuzma Minin,18 December 2018,0,0,0,1,0,0,0,0,0,0,1,"Summary: kuzma minin grounded after dragging its anchor in falmouth bay, england and was successfully refloated on the next high water. damage included shell plate deformation and breached tanks. the vessel dragged its anchor in strong winds. although the movement towards the shore was quickly detected by the bridge watchkeeper, the actions taken to proceed to sea were interrupted by the anchor becoming fouled by a discarded length of anchor chain. as focus was turned to clearing the anchor, kuzma minin was blown towards the shore at a speed of over 2 knots. falmouth’s harbourmaster used local resources to refloat the vessel, but concerns over kuzma minin’s lack of p&i insurance cover, and its owner’s lack of co-operation in appointing a salvor, caused unexpected pressures. Safety Issues: the financial situation of the murmansk shipping company meant that kuzma minin’s master was unable to replenish bunkers and lube oil which influenced his decision to remain at anchor on a lee shore when strong winds were forecastkuzma minin’s lack of p&i insurance led to concerns over responsibility for salvage payment which hindered the appointment of experts and the ability to secure the services of an additional tug that was on passage nearby"
2,"at 2100 bst on 9 august 2006, the antigua and barbuda registered general cargo vessel thunder anchored in the wild road anchorage off the port of mostyn. three shackles of cable were veered in 24m of water. the wind was gusting to 29 knots and a tidal stream of 2.5 knots was running. overnight the vessel dragged her anchor, and in the early morning of the following day, during the last of the ebb tide, she grounded.","the master was aware that an appropriate chart was not available on board. although he had requested its supply from the mostyn agent and the cargo operator, he did not notify the company marine superintendent, whose responsibility it was to ensure provision of nautical publicationsthe mostyn agent had taken it upon himself to send the waypoints for the approach channel, the position of a preferred anchorage and a pilot boarding area to the master. he had not consulted the harbourmaster about their accuracy or reliability","Mostyn Bank, Wales",Dragging anchor and grounding of general cargo vessel Thunder,10 August 2006,0,1,0,0,0,1,0,0,1,1,0,"Summary: at 2100 bst on 9 august 2006, the antigua and barbuda registered general cargo vessel thunder anchored in the wild road anchorage off the port of mostyn. three shackles of cable were veered in 24m of water. the wind was gusting to 29 knots and a tidal stream of 2.5 knots was running. overnight the vessel dragged her anchor, and in the early morning of the following day, during the last of the ebb tide, she grounded. Safety Issues: the master was aware that an appropriate chart was not available on board. although he had requested its supply from the mostyn agent and the cargo operator, he did not notify the company marine superintendent, whose responsibility it was to ensure provision of nautical publicationsthe mostyn agent had taken it upon himself to send the waypoints for the approach channel, the position of a preferred anchorage and a pilot boarding area to the master. he had not consulted the harbourmaster about their accuracy or reliability"
3,"on june 22, 2020, about 0230 local time, the deck cargo barge ho'omaka hou was under tow by the towing vessel hoku loa​​​ off the northeast coast of the big island of hawaii en route to hilo, when fifty 40-foot containers stacked on the after deck of the barge toppled, causing 21 to fall into the ocean. there were no injuries or pollution reported. eight containers were eventually recovered by salvors, and 13 remain missing. cargo loss was estimated at $1.5 million, and damage to the barge and containers was estimated at $131,000.","the probable cause of the collapse of container stacks onboard the barge ho'omaka hou towed by the hoku loa​ was the company not providing the barge team with an initial barge load plan, as well as inadequate procedures for monitoring stack weights, which led to undetected reverse stratification of container stacks that subjected the stacks' securing arrangements to increased forces while in transit at sea.","Hilo, HI","Container Damage and Loss aboard Deck Cargo Barge Ho'omaka Hou, Towed by Hoku Loa",6/22/2020,0,0,0,0,0,0,0,0,0,1,1,"Summary: on june 22, 2020, about 0230 local time, the deck cargo barge ho'omaka hou was under tow by the towing vessel hoku loa​​​ off the northeast coast of the big island of hawaii en route to hilo, when fifty 40-foot containers stacked on the after deck of the barge toppled, causing 21 to fall into the ocean. there were no injuries or pollution reported. eight containers were eventually recovered by salvors, and 13 remain missing. cargo loss was estimated at $1.5 million, and damage to the barge and containers was estimated at $131,000. Safety Issues: the probable cause of the collapse of container stacks onboard the barge ho'omaka hou towed by the hoku loa​ was the company not providing the barge team with an initial barge load plan, as well as inadequate procedures for monitoring stack weights, which led to undetected reverse stratification of container stacks that subjected the stacks' securing arrangements to increased forces while in transit at sea."
4,"the yacht ouzo sailed from bembridge, isle of wight (iow), bound for dartmouth, devon on the evening of 20 august 2006. she had her three regular crew members on board who were intending to take part in the dartmouth royal regatta. the body of one of the crew members was found in the sea just before midday on 22 august about 10 miles south of the nab tower. at about 1900 on the following day, the bodies of the other two crew were recovered from the sea. they had all been wearing inflated lifejackets and good quality yachting clothing. despite extensive surface and sub-surface searches no trace of the yacht has been found.","ouzo was not seen or otherwise detected by the bridge team on pride of bilbao until it was too late to take effective avoiding actionthe crew of ouzo did not effectively warn pride of bilbao of their presencepride of bilbao did not raise the alarm or stop and assist the yacht ouzo after the incident because the watchkeeper was unaware that ouzo was in distressafter the incident with pride of bilbao, the crew of ouzo had no means to raise the alarmthe last minute helm action taken by the second officer to avoid the yacht was ineffective","South of the Isle of Wight, England",Sinking of sailing yacht Ouzo after encounter with ro-ro passenger ferry Pride of Bilbao with loss of 3 lives,20 August 2006,1,0,0,0,0,0,0,0,0,1,0,"Summary: the yacht ouzo sailed from bembridge, isle of wight (iow), bound for dartmouth, devon on the evening of 20 august 2006. she had her three regular crew members on board who were intending to take part in the dartmouth royal regatta. the body of one of the crew members was found in the sea just before midday on 22 august about 10 miles south of the nab tower. at about 1900 on the following day, the bodies of the other two crew were recovered from the sea. they had all been wearing inflated lifejackets and good quality yachting clothing. despite extensive surface and sub-surface searches no trace of the yacht has been found. Safety Issues: ouzo was not seen or otherwise detected by the bridge team on pride of bilbao until it was too late to take effective avoiding actionthe crew of ouzo did not effectively warn pride of bilbao of their presencepride of bilbao did not raise the alarm or stop and assist the yacht ouzo after the incident because the watchkeeper was unaware that ouzo was in distressafter the incident with pride of bilbao, the crew of ouzo had no means to raise the alarmthe last minute helm action taken by the second officer to avoid the yacht was ineffective"
5,"on april 12, 2023, about 0015 local time, the small passenger vessel lady delray was moored, unattended and locked up, alongside the dock at veterans park on the intracoastal waterway in delray beach, florida, when a bystander on shore reported a fire on board the vessel. the local fire department responded to the scene and extinguished the fire. the vessel was later towed to a boatyard for repairs. no pollution or injuries were reported. damage to the vessel was estimated at $500,000.","we determined that the probable cause of the fire on board the passenger vessel lady delray was either the failure of a two door, keg-type refrigeration unit’s hermetically sealed compressor or an unknown electrical source in the bulkhead directly behind the unit, which ignited wood paneling and other nearby combustible materials.​","Delray Beach, FL",Fire aboard Small Passenger Vessel Lady Delray,4/12/2023,0,0,0,0,1,0,0,1,0,0,1,"Summary: on april 12, 2023, about 0015 local time, the small passenger vessel lady delray was moored, unattended and locked up, alongside the dock at veterans park on the intracoastal waterway in delray beach, florida, when a bystander on shore reported a fire on board the vessel. the local fire department responded to the scene and extinguished the fire. the vessel was later towed to a boatyard for repairs. no pollution or injuries were reported. damage to the vessel was estimated at $500,000. Safety Issues: we determined that the probable cause of the fire on board the passenger vessel lady delray was either the failure of a two door, keg-type refrigeration unit’s hermetically sealed compressor or an unknown electrical source in the bulkhead directly behind the unit, which ignited wood paneling and other nearby combustible materials.​"
6,"on 30 november 2014, the general cargo vessel vectis eagle grounded as a result of the loss of directional control while entering gijon, spain. the vessel refloated under its own power 2 minutes later. there were no injuries and there was no pollution. the forward section of the vessel’s hull was damaged below the waterline. the loss of control occurred as the vessel was rounding an inner breakwater.",vectis eagle was unnecessarily close to the breakwater and that the turn was started too earlythe pilot had been ‘navigating by eye’ and his advice was not challenged by the masterthe cause of the loss of directional control could not be determinedthe cargo ship’s master did not save the vdr data and attempted to conceal the grounding,"Gijon, Spain",Grounding of general cargo ship Vectis Eagle,30 November 2014,1,1,0,0,0,1,0,0,0,0,1,"Summary: on 30 november 2014, the general cargo vessel vectis eagle grounded as a result of the loss of directional control while entering gijon, spain. the vessel refloated under its own power 2 minutes later. there were no injuries and there was no pollution. the forward section of the vessel’s hull was damaged below the waterline. the loss of control occurred as the vessel was rounding an inner breakwater. Safety Issues: vectis eagle was unnecessarily close to the breakwater and that the turn was started too earlythe pilot had been ‘navigating by eye’ and his advice was not challenged by the masterthe cause of the loss of directional control could not be determinedthe cargo ship’s master did not save the vdr data and attempted to conceal the grounding"
7,"on march 10, 2019, at 0100 local time, the towing vessel rivers wilson, with 8 crewmembers and pushing six loaded barges, contacted the norfolk southern railway bridge near jackson, alabama. as a result, a bridge support was shifted out of position, and the tracks above deflected. rail traffic was suspended for 27 hours until temporary repairs were made. one crewmember sustained a minor knee injury in the immediate response. no pollution was reported.",​​the probable cause of the contact between the rivers wilson tow and the norfolk southern railway bridge was the pilot’s decision to navigate through a bridge that was poorly aligned with the channel with an unfamiliar towing vessel in high water and strong current.,"Jackson, AL",Contact of Towing Vessel Rivers Wilson and Tow with Norfolk Southern Railway Bridge,3/10/2019,1,0,0,1,1,0,0,0,0,0,0,"Summary: on march 10, 2019, at 0100 local time, the towing vessel rivers wilson, with 8 crewmembers and pushing six loaded barges, contacted the norfolk southern railway bridge near jackson, alabama. as a result, a bridge support was shifted out of position, and the tracks above deflected. rail traffic was suspended for 27 hours until temporary repairs were made. one crewmember sustained a minor knee injury in the immediate response. no pollution was reported. Safety Issues: ​​the probable cause of the contact between the rivers wilson tow and the norfolk southern railway bridge was the pilot’s decision to navigate through a bridge that was poorly aligned with the channel with an unfamiliar towing vessel in high water and strong current."
8,"on august 9, 2018, about 2030 local time, the main boom on the crane barge atlantic giant ii failed while moving a section of a vessel being dismantled in the brownsville ship channel in brownsville, texas. the load and crane boom subsequently fell into the harbor. two shipyard employees working on the barge were injured, as well as a third on board an assisting tugboat. no pollution was reported. damage to the barge and crane amounted to an estimated $6.4 million.",​​the probable cause of the boomfailure aboard the crane barge atlantic giant ii was the decision by south coast maritime and steelcoast to continue with a lift that exceeded the planned weight without conducting additional risk assessments for the continuation of work as the crane neared its maximum capacity.,"Brownsville, TX",Boom Failure aboard Crane Barge Atlantic Giant II,8/9/2018,0,0,0,0,0,0,0,0,1,0,0,"Summary: on august 9, 2018, about 2030 local time, the main boom on the crane barge atlantic giant ii failed while moving a section of a vessel being dismantled in the brownsville ship channel in brownsville, texas. the load and crane boom subsequently fell into the harbor. two shipyard employees working on the barge were injured, as well as a third on board an assisting tugboat. no pollution was reported. damage to the barge and crane amounted to an estimated $6.4 million. Safety Issues: ​​the probable cause of the boomfailure aboard the crane barge atlantic giant ii was the decision by south coast maritime and steelcoast to continue with a lift that exceeded the planned weight without conducting additional risk assessments for the continuation of work as the crane neared its maximum capacity."
9,"on 10 september 2009, an able seaman from the uk registered container ship ever elite drowned in san francisco bay after the lower section of the accommodation ladder he was standing on broke free and fell into the water. the vessel was approaching the container terminal in oakland, california when the accident occurred and the seaman’s body was soon spotted by an accompanying tug and recovered onto a pilot launch.","the accommodation ladder was set free when the hoist winch gearbox failed; the gearbox had been incorrectly re-assembled by the ship’s crew following maintenance. factors leading to this error included: the lack of technical information held; an ineffective management system of onboard maintenance; and the low-level maintenance and testing requirements adopted for the hoist winch because it had not been considered to be lifting gear as defined in national regulation. rigging the ladder when underway was unnecessarily hazardous, and a safe system of work had not been developed. the seaman fell into the water and drowned because he was not wearing a fall arrest device and a lifejacket, which should have been required for working over the side. other, unrelated, safety shortfalls were identified during the investigation.","San Francisco Bay, United States of America",Uncontrolled descent of accommodation ladder from container vessel Ever Elite with loss of 1 life,10 September 2009,0,0,1,0,1,0,0,1,1,1,1,"Summary: on 10 september 2009, an able seaman from the uk registered container ship ever elite drowned in san francisco bay after the lower section of the accommodation ladder he was standing on broke free and fell into the water. the vessel was approaching the container terminal in oakland, california when the accident occurred and the seaman’s body was soon spotted by an accompanying tug and recovered onto a pilot launch. Safety Issues: the accommodation ladder was set free when the hoist winch gearbox failed; the gearbox had been incorrectly re-assembled by the ship’s crew following maintenance. factors leading to this error included: the lack of technical information held; an ineffective management system of onboard maintenance; and the low-level maintenance and testing requirements adopted for the hoist winch because it had not been considered to be lifting gear as defined in national regulation. rigging the ladder when underway was unnecessarily hazardous, and a safe system of work had not been developed. the seaman fell into the water and drowned because he was not wearing a fall arrest device and a lifejacket, which should have been required for working over the side. other, unrelated, safety shortfalls were identified during the investigation."
